UserID,Gender,Age,FavoriteMusicType,WeeklyListeningHours,PaidSubscription,ListeningPlatform,Country,SubscriptionType,GenrePreferenceLevel,DeviceType,ListeningTimeOfDay,NumberOfPlaylists
50,Female,18,Pop,10,Yes,Spotify,China,Free,Low,Mobile,Afternoon,46
51,Female,35,Traditional,7,Yes,QQ Music,Brazil,Student,Low,Smart Speaker,Night,15
52,Male,27,Chill,13,No,QQ Music,Korea,Free,Low,Smart Speaker,Afternoon,43
53,Male,42,Traditional,10,Yes,Apple Music,Japan,Premium,High,Mobile,Morning,21
54,Male,33,Oldies,13,No,Apple Music,Korea,Family,High,Mobile,Night,26
55,Female,22,Jazz,19,Yes,NetEase Cloud,USA,Student,High,PC,Afternoon,16
56,Female,42,Traditional,16,Yes,YouTube Music,Japan,Student,Medium,Smart Speaker,Morning,29
57,Female,25,Rock,15,Yes,NetEase Cloud,Korea,Premium,High,Smart Speaker,Evening,58
58,Female,27,Pop,15,Yes,NetEase Cloud,India,Free,Low,Tablet,Morning,27
59,Female,18,Rock,18,Yes,QQ Music,Australia,Free,High,PC,Night,38
60,Female,27,J-Pop,24,Yes,Apple Music,USA,Free,Low,Mobile,Morning,74
61,Female,18,K-Pop,30,No,QQ Music,Japan,Student,Medium,Smart Speaker,Evening,44
62,Female,25,J-Pop,13,No,YouTube Music,Korea,Student,High,Smart Speaker,Evening,54
63,Female,26,Oldies,11,Yes,NetEase Cloud,Japan,Student,Low,PC,Afternoon,30
64,Male,19,J-Pop,15,No,NetEase Cloud,Japan,Student,Low,PC,Morning,65
65,Male,21,J-Pop,19,No,YouTube Music,India,Free,High,PC,Night,50
66,Female,39,EDM,30,Yes,NetEase Cloud,UK,Family,Medium,Mobile,Afternoon,89
67,Female,26,Pop,21,Yes,Apple Music,India,Free,High,PC,Morning,0
68,Male,35,Oldies,10,No,Apple Music,Germany,Family,Medium,Tablet,Night,2
69,Female,18,Rock,6,Yes,NetEase Cloud,Australia,Family,Low,PC,Morning,39
70,Male,45,Traditional,16,Yes,YouTube Music,Brazil,Free,High,PC,Evening,24
71,Male,22,Chill,5,Yes,QQ Music,China,Student,High,Mobile,Evening,3
72,Male,18,Pop,13,Yes,NetEase Cloud,Brazil,Student,Low,PC,Night,41
73,Male,18,Rock,20,Yes,Spotify,China,Free,Medium,Tablet,Morning,35
74,Female,40,Oldies,18,Yes,Apple Music,India,Family,High,Tablet,Afternoon,10
75,Female,36,Chill,16,No,Spotify,Japan,Family,High,Mobile,Afternoon,28
76,Female,40,Chill,22,Yes,Spotify,India,Student,High,Smart Speaker,Morning,17
77,Female,30,Chill,18,Yes,Spotify,Brazil,Free,Medium,Smart Speaker,Evening,30
78,Female,28,Rock,19,Yes,NetEase Cloud,France,Student,Low,Mobile,Morning,76
79,Female,18,J-Pop,21,No,NetEase Cloud,China,Premium,Low,PC,Night,33
80,Female,28,Rock,8,Yes,Spotify,France,Free,Low,PC,Evening,46
81,Male,35,Oldies,9,Yes,NetEase Cloud,USA,Student,Medium,PC,Night,7
82,Male,31,Jazz,20,Yes,Spotify,USA,Premium,Medium,Smart Speaker,Night,29
83,Male,25,J-Pop,30,Yes,Spotify,India,Family,Low,PC,Evening,54
84,Female,21,Rock,20,Yes,QQ Music,India,Premium,High,PC,Morning,29
85,Male,19,J-Pop,12,No,QQ Music,China,Free,Medium,PC,Morning,66
86,Female,20,J-Pop,23,No,QQ Music,France,Family,Low,PC,Afternoon,31
87,Female,36,Chill,12,Yes,YouTube Music,UK,Family,Low,Tablet,Evening,32
88,Female,42,Jazz,18,Yes,Apple Music,Germany,Family,High,Tablet,Evening,29
89,Male,27,Oldies,27,Yes,NetEase Cloud,China,Premium,High,Mobile,Morning,45
90,Male,28,EDM,18,Yes,QQ Music,Germany,Premium,Medium,Mobile,Afternoon,57
91,Female,21,Rock,25,No,Apple Music,China,Family,Medium,Mobile,Night,45
92,Male,24,Chill,14,Yes,Apple Music,Korea,Premium,Low,PC,Afternoon,55
93,Male,45,Chill,26,Yes,NetEase Cloud,USA,Free,Medium,Tablet,Morning,48
94,Male,32,Jazz,5,Yes,YouTube Music,USA,Premium,High,PC,Evening,34
95,Male,31,Chill,17,Yes,Spotify,China,Family,Medium,Smart Speaker,Evening,35
96,Female,18,EDM,29,No,QQ Music,France,Student,Medium,PC,Afternoon,75
97,Female,28,EDM,30,Yes,YouTube Music,USA,Student,Medium,Smart Speaker,Night,75
98,Male,18,K-Pop,22,No,NetEase Cloud,France,Student,Medium,Tablet,Afternoon,56
99,Female,25,Rock,23,No,YouTube Music,USA,Free,High,Smart Speaker,Evening,52
100,Female,37,Rock,30,Yes,Apple Music,France,Family,Medium,PC,Afternoon,41
101,Female,18,Rock,25,No,YouTube Music,Korea,Family,High,Mobile,Night,29
102,Female,28,Jazz,13,Yes,QQ Music,India,Free,Medium,Smart Speaker,Morning,23
103,Female,25,J-Pop,12,Yes,YouTube Music,China,Family,Low,Smart Speaker,Evening,30
104,Female,26,EDM,29,No,YouTube Music,Japan,Free,Medium,Smart Speaker,Night,76
105,Male,37,Traditional,8,Yes,Apple Music,UK,Premium,High,Smart Speaker,Afternoon,14
106,Female,24,Pop,30,Yes,YouTube Music,France,Free,High,PC,Afternoon,0
107,Female,19,K-Pop,13,No,Apple Music,France,Premium,Low,Tablet,Evening,21
108,Male,41,Chill,20,No,QQ Music,Germany,Free,Low,Mobile,Afternoon,43
109,Male,29,Pop,16,Yes,QQ Music,UK,Free,High,Smart Speaker,Afternoon,35
110,Male,38,Rock,16,No,Spotify,UK,Family,High,PC,Night,54
111,Female,22,J-Pop,10,No,Spotify,Korea,Premium,Medium,PC,Night,13
112,Male,18,Pop,27,Yes,Apple Music,India,Free,High,PC,Morning,62
113,Female,45,Traditional,8,Yes,Spotify,Brazil,Student,High,Mobile,Night,36
114,Female,33,Oldies,14,No,Spotify,India,Free,Low,Smart Speaker,Afternoon,24
115,Female,33,Jazz,21,No,NetEase Cloud,France,Family,High,Mobile,Night,19
116,Male,30,Oldies,13,Yes,Spotify,UK,Family,Low,Mobile,Afternoon,20
117,Female,45,Oldies,16,Yes,YouTube Music,Australia,Premium,Medium,Smart Speaker,Night,20
118,Male,18,Pop,6,No,QQ Music,USA,Family,Low,PC,Morning,22
119,Female,40,Oldies,20,Yes,Spotify,Korea,Free,Medium,Tablet,Evening,38
120,Female,25,EDM,22,No,Apple Music,Germany,Free,Low,Tablet,Morning,66
121,Male,36,Oldies,21,Yes,NetEase Cloud,Brazil,Free,Low,Tablet,Morning,22
122,Female,39,Oldies,5,No,NetEase Cloud,UK,Student,Medium,Tablet,Afternoon,22
123,Female,26,J-Pop,15,Yes,QQ Music,India,Student,High,PC,Evening,36
124,Female,29,Rock,9,No,QQ Music,Korea,Family,Low,Mobile,Morning,61
125,Female,19,Pop,17,Yes,Apple Music,Germany,Premium,High,Smart Speaker,Night,20
126,Male,22,K-Pop,30,Yes,Apple Music,Korea,Free,High,PC,Afternoon,70
127,Female,33,Oldies,18,No,Apple Music,Germany,Family,High,Mobile,Afternoon,21
128,Male,45,Oldies,17,Yes,NetEase Cloud,Australia,Free,Medium,PC,Afternoon,0
129,Female,18,Rock,23,Yes,NetEase Cloud,Japan,Student,Low,PC,Evening,43
130,Female,18,EDM,19,No,Apple Music,Brazil,Student,Low,Smart Speaker,Night,12
131,Male,20,K-Pop,30,Yes,Spotify,Korea,Family,High,Smart Speaker,Afternoon,71
132,Male,38,Pop,26,No,Spotify,France,Student,Low,Smart Speaker,Night,67
133,Female,36,Rock,20,Yes,Apple Music,Australia,Premium,High,Mobile,Night,36
134,Male,27,J-Pop,30,No,Apple Music,Brazil,Family,Medium,Mobile,Night,41
135,Male,37,Traditional,12,Yes,NetEase Cloud,India,Premium,Medium,Smart Speaker,Afternoon,28
136,Female,25,J-Pop,13,Yes,Spotify,USA,Student,Low,PC,Afternoon,84
137,Female,20,EDM,22,No,QQ Music,Japan,Student,High,Mobile,Night,37
138,Male,45,Chill,18,Yes,QQ Music,India,Premium,Medium,Mobile,Evening,19
139,Male,25,K-Pop,28,No,YouTube Music,France,Family,Low,Smart Speaker,Morning,51
140,Male,45,Traditional,8,No,QQ Music,France,Student,High,PC,Night,15
141,Male,29,Traditional,6,No,Spotify,Korea,Premium,High,Smart Speaker,Afternoon,38
142,Female,34,Pop,20,Yes,NetEase Cloud,China,Family,Low,Tablet,Evening,81
143,Female,23,EDM,23,Yes,Spotify,Brazil,Free,High,PC,Night,61
144,Female,21,J-Pop,20,Yes,Spotify,Australia,Premium,Low,PC,Night,70
145,Female,22,J-Pop,26,Yes,QQ Music,India,Student,Low,Smart Speaker,Morning,68
146,Female,27,Rock,12,Yes,Apple Music,Korea,Free,Medium,PC,Evening,12
147,Female,36,Jazz,14,No,YouTube Music,China,Free,Medium,Smart Speaker,Morning,31
148,Male,23,EDM,30,Yes,QQ Music,India,Premium,Low,PC,Morning,26
149,Male,18,Rock,19,No,QQ Music,UK,Student,High,Tablet,Evening,32
150,Female,23,J-Pop,25,Yes,QQ Music,Germany,Family,Medium,Mobile,Evening,73
151,Female,32,Traditional,9,Yes,YouTube Music,USA,Family,High,Tablet,Night,24
152,Female,28,Pop,30,Yes,NetEase Cloud,UK,Student,Low,Mobile,Night,66
153,Male,22,Pop,13,Yes,QQ Music,China,Family,Low,Tablet,Evening,32
154,Male,20,EDM,30,No,NetEase Cloud,Japan,Student,High,PC,Night,66
155,Male,34,Traditional,10,No,NetEase Cloud,China,Family,Medium,Smart Speaker,Afternoon,28
156,Male,25,Pop,23,No,Spotify,China,Free,Medium,Tablet,Morning,53
157,Male,45,Chill,18,No,Apple Music,India,Family,Medium,Smart Speaker,Night,28
158,Female,22,Chill,18,Yes,YouTube Music,Germany,Premium,Medium,Tablet,Night,0
159,Female,21,Pop,18,Yes,Apple Music,Brazil,Student,High,PC,Night,14
160,Female,22,Chill,21,Yes,NetEase Cloud,UK,Free,Medium,Tablet,Evening,39
161,Male,21,K-Pop,25,No,NetEase Cloud,India,Student,High,Mobile,Evening,56
162,Male,44,Jazz,15,Yes,YouTube Music,Korea,Family,Medium,PC,Night,8
163,Male,45,Jazz,16,Yes,Apple Music,Australia,Free,Medium,Mobile,Afternoon,21
164,Male,18,EDM,28,Yes,Spotify,Brazil,Premium,High,Smart Speaker,Morning,57
165,Male,34,Rock,15,No,Apple Music,Germany,Student,High,Mobile,Morning,23
166,Female,45,Oldies,17,No,QQ Music,Australia,Premium,High,PC,Night,27
167,Female,25,J-Pop,21,Yes,Apple Music,UK,Family,Low,Mobile,Night,54
168,Male,31,Pop,24,No,NetEase Cloud,UK,Premium,High,Mobile,Evening,41
169,Female,33,Rock,5,Yes,YouTube Music,Japan,Free,Low,Smart Speaker,Morning,81
170,Male,21,Jazz,11,Yes,QQ Music,Korea,Premium,High,PC,Afternoon,29
171,Male,30,Chill,23,Yes,NetEase Cloud,Australia,Family,High,Smart Speaker,Night,15
172,Male,26,Rock,14,Yes,Apple Music,UK,Free,High,Smart Speaker,Evening,45
173,Male,23,EDM,25,Yes,YouTube Music,India,Family,Low,PC,Afternoon,46
174,Male,19,Pop,22,Yes,QQ Music,Australia,Student,Low,Tablet,Evening,65
175,Female,30,Jazz,10,No,Apple Music,Japan,Free,Low,PC,Morning,39
176,Female,22,Pop,25,Yes,QQ Music,UK,Family,High,Tablet,Evening,25
177,Female,18,Chill,13,Yes,Spotify,India,Premium,High,PC,Evening,21
178,Female,20,K-Pop,18,No,Spotify,China,Premium,Low,Mobile,Afternoon,69
179,Male,40,Traditional,12,No,YouTube Music,UK,Family,Low,Smart Speaker,Night,21
180,Female,24,Pop,19,No,Spotify,Korea,Student,High,Mobile,Afternoon,56
181,Male,18,J-Pop,30,Yes,NetEase Cloud,China,Family,Medium,PC,Morning,45
182,Male,18,Rock,19,No,Apple Music,China,Family,Low,Tablet,Night,22
183,Male,45,Traditional,20,Yes,QQ Music,France,Family,High,PC,Afternoon,12
184,Female,42,Oldies,5,Yes,QQ Music,Germany,Family,Medium,Tablet,Evening,30
185,Male,18,Pop,15,Yes,Spotify,China,Student,Medium,Smart Speaker,Afternoon,20
186,Female,40,Jazz,20,Yes,QQ Music,Korea,Premium,Low,PC,Afternoon,30
187,Male,33,Oldies,20,Yes,QQ Music,France,Family,High,Tablet,Evening,15
188,Male,18,EDM,28,No,Apple Music,Germany,Student,High,PC,Morning,32
189,Male,29,EDM,21,Yes,YouTube Music,Australia,Free,Low,Mobile,Morning,75
190,Female,32,Pop,11,No,QQ Music,USA,Free,Low,Tablet,Afternoon,32
191,Male,24,Rock,27,No,Spotify,India,Student,High,Tablet,Night,26
192,Female,35,Oldies,15,Yes,Spotify,Australia,Premium,Medium,Mobile,Evening,18
193,Female,42,Traditional,5,Yes,YouTube Music,Japan,Student,Low,Smart Speaker,Morning,42
194,Male,24,Jazz,13,Yes,QQ Music,USA,Family,High,PC,Night,29
195,Male,31,J-Pop,14,Yes,QQ Music,China,Premium,Medium,Smart Speaker,Night,85
196,Female,25,J-Pop,24,No,QQ Music,Japan,Student,Medium,PC,Night,32
197,Female,37,Chill,12,Yes,YouTube Music,Germany,Premium,Medium,PC,Afternoon,57
198,Male,33,Oldies,12,Yes,Spotify,Australia,Student,Medium,PC,Night,18
199,Female,33,Oldies,16,Yes,QQ Music,China,Family,Medium,Tablet,Morning,31
200,Male,44,Chill,6,No,QQ Music,USA,Student,High,PC,Morning,54
201,Male,45,Jazz,12,Yes,NetEase Cloud,India,Student,High,PC,Afternoon,58
202,Male,23,Rock,9,No,Apple Music,China,Free,Medium,Mobile,Night,33
203,Male,30,Pop,14,Yes,YouTube Music,China,Free,High,Mobile,Night,31
204,Male,44,Oldies,13,No,Apple Music,India,Family,High,Tablet,Evening,32
205,Female,36,Jazz,17,No,YouTube Music,Japan,Family,High,Smart Speaker,Night,23
206,Male,26,Rock,12,No,Apple Music,Germany,Family,Low,Tablet,Evening,65
207,Female,21,Rock,24,No,NetEase Cloud,Japan,Family,Medium,Smart Speaker,Morning,35
208,Male,34,Chill,14,Yes,Apple Music,USA,Student,Medium,Mobile,Afternoon,16
209,Male,18,Rock,11,No,QQ Music,Japan,Family,High,Smart Speaker,Evening,33
210,Female,24,Pop,27,No,Apple Music,Australia,Student,High,PC,Morning,35
211,Female,18,EDM,13,Yes,Apple Music,Korea,Student,High,Tablet,Evening,72
212,Female,45,Chill,24,Yes,Spotify,China,Student,Low,Mobile,Night,47
213,Male,40,Jazz,23,Yes,YouTube Music,Japan,Student,Low,Mobile,Night,34
214,Female,27,Pop,17,No,Apple Music,France,Free,Medium,Mobile,Afternoon,15
215,Female,25,Chill,16,Yes,QQ Music,USA,Premium,Medium,Smart Speaker,Morning,36
216,Female,36,Pop,20,No,QQ Music,France,Student,Low,Tablet,Morning,70
217,Female,19,J-Pop,20,No,YouTube Music,Korea,Premium,Low,Tablet,Morning,26
218,Female,24,Chill,20,Yes,NetEase Cloud,France,Free,Low,PC,Evening,35
219,Male,42,Jazz,15,No,YouTube Music,Japan,Family,Medium,Smart Speaker,Evening,24
220,Female,45,Oldies,12,No,QQ Music,France,Student,Medium,Tablet,Night,38
221,Male,31,Jazz,18,Yes,NetEase Cloud,Australia,Family,Medium,Smart Speaker,Evening,43
222,Male,36,Jazz,5,No,NetEase Cloud,France,Premium,High,Mobile,Evening,30
223,Female,32,Rock,21,No,Spotify,Japan,Family,Medium,PC,Afternoon,48
224,Female,18,K-Pop,17,No,Apple Music,Germany,Premium,High,PC,Morning,63
225,Male,24,J-Pop,29,Yes,Spotify,India,Free,Medium,Tablet,Night,47
226,Male,25,Pop,20,Yes,Apple Music,France,Free,Medium,Tablet,Morning,23
227,Female,28,Traditional,13,No,Spotify,UK,Premium,Medium,Tablet,Afternoon,21
228,Male,18,K-Pop,11,No,NetEase Cloud,China,Student,High,Tablet,Afternoon,67
229,Male,38,Oldies,15,Yes,Apple Music,Brazil,Student,Low,Smart Speaker,Morning,47
230,Male,18,Jazz,11,No,QQ Music,Korea,Student,High,Smart Speaker,Night,26
231,Male,45,Oldies,5,Yes,NetEase Cloud,USA,Family,Medium,PC,Evening,48
232,Male,24,EDM,24,Yes,YouTube Music,India,Student,Low,Mobile,Night,55
233,Female,31,Jazz,20,No,NetEase Cloud,Japan,Premium,High,PC,Night,13
234,Male,26,EDM,21,Yes,QQ Music,Germany,Premium,Low,Mobile,Evening,40
235,Male,41,Pop,22,Yes,Spotify,Japan,Free,High,Mobile,Morning,58
236,Female,43,Chill,8,No,Apple Music,France,Premium,Low,Tablet,Morning,66
237,Female,18,J-Pop,17,No,Spotify,USA,Student,Medium,Mobile,Afternoon,41
238,Male,28,Rock,19,No,Spotify,Korea,Student,High,Smart Speaker,Afternoon,36
239,Male,34,Jazz,10,No,Apple Music,Australia,Free,High,PC,Morning,7
240,Male,28,Pop,24,Yes,Spotify,India,Student,High,Tablet,Night,79
241,Female,37,Traditional,14,Yes,QQ Music,Brazil,Free,Low,Smart Speaker,Afternoon,17
242,Male,45,Traditional,16,No,YouTube Music,Brazil,Free,Medium,PC,Evening,22
243,Male,39,Traditional,15,Yes,Apple Music,Brazil,Premium,Medium,PC,Morning,26
244,Male,18,K-Pop,13,No,Spotify,France,Premium,Medium,Tablet,Night,49
245,Female,34,Rock,24,Yes,Apple Music,Germany,Student,High,Smart Speaker,Evening,17
246,Female,34,Traditional,17,Yes,Spotify,Brazil,Student,High,Mobile,Afternoon,8
247,Female,23,K-Pop,18,Yes,QQ Music,France,Family,Low,Smart Speaker,Afternoon,87
248,Female,37,Traditional,16,Yes,NetEase Cloud,China,Family,High,PC,Afternoon,21
249,Female,43,Traditional,5,No,YouTube Music,Germany,Free,Medium,Mobile,Morning,0
250,Male,38,Oldies,14,Yes,YouTube Music,Brazil,Family,High,Smart Speaker,Evening,11
251,Female,18,J-Pop,25,Yes,Apple Music,UK,Student,Medium,Mobile,Morning,60
252,Female,20,K-Pop,28,Yes,YouTube Music,Germany,Student,Medium,PC,Evening,31
253,Male,37,Oldies,21,Yes,Spotify,USA,Family,Low,Mobile,Afternoon,25
254,Male,22,J-Pop,30,Yes,QQ Music,USA,Student,Medium,Tablet,Evening,24
255,Male,28,Pop,30,Yes,QQ Music,USA,Student,Medium,Smart Speaker,Morning,37
256,Male,29,EDM,17,No,Apple Music,Germany,Free,Low,PC,Night,42
257,Male,44,Traditional,15,No,Spotify,UK,Student,Medium,PC,Morning,31
258,Male,45,Chill,16,No,YouTube Music,Germany,Free,Low,Smart Speaker,Evening,56
259,Female,32,Jazz,19,No,Spotify,Germany,Student,High,Smart Speaker,Afternoon,33
260,Female,27,Rock,20,Yes,YouTube Music,Korea,Premium,High,Mobile,Evening,7
261,Female,26,Jazz,15,No,Spotify,France,Student,High,PC,Afternoon,4
262,Male,45,Traditional,15,Yes,YouTube Music,India,Student,Medium,Mobile,Morning,23
263,Male,18,Pop,29,Yes,YouTube Music,France,Free,High,Smart Speaker,Morning,89
264,Female,24,EDM,29,Yes,QQ Music,Germany,Family,High,Mobile,Morning,65
265,Female,43,Oldies,12,Yes,NetEase Cloud,Japan,Student,High,Smart Speaker,Morning,24
266,Male,41,Chill,30,Yes,NetEase Cloud,Germany,Family,Low,PC,Evening,9
267,Female,30,Chill,9,Yes,Apple Music,Brazil,Family,Medium,PC,Night,63
268,Male,26,Chill,8,No,NetEase Cloud,Brazil,Premium,Medium,Smart Speaker,Afternoon,46
269,Male,30,J-Pop,25,No,Apple Music,Korea,Student,Low,PC,Afternoon,53
270,Male,24,J-Pop,30,Yes,QQ Music,UK,Student,Medium,PC,Afternoon,34
271,Male,39,Oldies,10,Yes,Apple Music,Korea,Student,Medium,Smart Speaker,Evening,10
272,Female,37,Oldies,18,Yes,NetEase Cloud,USA,Student,High,Mobile,Morning,31
273,Female,44,Oldies,13,Yes,YouTube Music,UK,Family,High,Smart Speaker,Morning,31
274,Female,37,Traditional,10,No,Apple Music,China,Premium,Medium,Smart Speaker,Afternoon,21
275,Female,25,EDM,27,No,NetEase Cloud,USA,Student,Low,Mobile,Morning,56
276,Male,21,EDM,30,Yes,NetEase Cloud,France,Student,Low,Smart Speaker,Morning,82
277,Female,42,Oldies,11,Yes,YouTube Music,UK,Student,High,Smart Speaker,Evening,19
278,Female,33,Jazz,16,No,Spotify,Australia,Family,High,Smart Speaker,Morning,1
279,Male,18,Chill,13,Yes,NetEase Cloud,Brazil,Premium,Medium,Mobile,Evening,38
280,Male,38,Oldies,20,Yes,QQ Music,Germany,Family,Low,Smart Speaker,Evening,7
281,Female,34,Oldies,20,Yes,YouTube Music,Brazil,Premium,Low,Tablet,Afternoon,26
282,Male,26,J-Pop,30,Yes,Spotify,USA,Family,High,Mobile,Afternoon,37
283,Male,20,K-Pop,21,No,YouTube Music,Brazil,Student,Low,Mobile,Afternoon,15
284,Male,23,Rock,23,No,Apple Music,India,Free,Low,Tablet,Night,50
285,Male,39,Jazz,13,Yes,NetEase Cloud,Brazil,Free,High,Smart Speaker,Evening,20
286,Male,32,Rock,15,Yes,NetEase Cloud,France,Premium,Low,Smart Speaker,Morning,45
287,Male,24,EDM,30,No,YouTube Music,Brazil,Premium,High,Smart Speaker,Morning,84
288,Male,18,EDM,15,Yes,Apple Music,USA,Family,Low,PC,Morning,74
289,Male,21,J-Pop,19,Yes,YouTube Music,Germany,Premium,High,PC,Evening,68
290,Female,36,Jazz,15,No,QQ Music,France,Premium,Medium,Mobile,Afternoon,41
291,Female,22,Rock,27,No,NetEase Cloud,India,Premium,Low,Smart Speaker,Morning,24
292,Male,28,Rock,26,No,NetEase Cloud,Japan,Family,Low,Mobile,Night,12
293,Female,37,Oldies,18,No,QQ Music,Germany,Family,Medium,Tablet,Night,38
294,Male,20,K-Pop,17,Yes,Spotify,Brazil,Free,Low,Smart Speaker,Evening,74
295,Male,32,Rock,11,No,NetEase Cloud,Korea,Free,High,Smart Speaker,Night,15
296,Female,25,EDM,30,Yes,YouTube Music,UK,Family,Low,Mobile,Evening,52
297,Female,38,Chill,12,Yes,Spotify,USA,Free,Medium,Smart Speaker,Afternoon,0
298,Male,20,Pop,20,Yes,Spotify,Australia,Student,High,PC,Morning,38
299,Male,25,Jazz,5,Yes,YouTube Music,France,Free,High,Smart Speaker,Morning,22
300,Male,30,Rock,25,Yes,QQ Music,Brazil,Premium,Low,PC,Morning,63
301,Male,20,Rock,11,Yes,Spotify,Germany,Student,Medium,Smart Speaker,Morning,49
302,Female,27,EDM,28,Yes,NetEase Cloud,India,Free,Low,Mobile,Afternoon,9
303,Female,18,EDM,24,Yes,Apple Music,Japan,Family,Low,Smart Speaker,Morning,72
304,Female,41,Jazz,15,Yes,Spotify,India,Family,Low,Mobile,Night,34
305,Female,32,Chill,21,Yes,QQ Music,India,Premium,Medium,Tablet,Evening,40
306,Male,42,Traditional,10,Yes,YouTube Music,India,Free,High,Smart Speaker,Evening,20
307,Female,26,EDM,27,Yes,NetEase Cloud,Germany,Free,Medium,Tablet,Night,69
308,Female,28,J-Pop,23,Yes,Apple Music,India,Student,Medium,Mobile,Night,38
309,Female,45,Oldies,6,Yes,Spotify,France,Student,High,Smart Speaker,Afternoon,12
