UserID,Gender,Age,FavoriteMusicType,WeeklyListeningHours,PaidSubscription,ListeningPlatform,Country,SubscriptionType,GenrePreferenceLevel,DeviceType,ListeningTimeOfDay,NumberOfPlaylists
38,Female,45,Chill,26,Yes,Apple Music,India,Premium,Medium,Mobile,Night,5
39,Female,45,Traditional,6,Yes,YouTube Music,Brazil,Premium,Medium,Mobile,Night,25
40,Male,33,Chill,15,No,Apple Music,Australia,Premium,Low,Tablet,Morning,10
41,Male,32,Traditional,14,Yes,NetEase Cloud,India,Family,Low,Mobile,Afternoon,13
42,Male,32,Traditional,27,No,Apple Music,USA,Premium,Low,Tablet,Morning,25
43,Male,36,EDM,17,Yes,Amazon Music,Korea,Family,High,Mobile,Afternoon,24
44,Female,29,EDM,11,No,NetEase Cloud,China,Premium,Medium,PC,Afternoon,37
45,Male,40,Oldies,14,Yes,YouTube Music,Brazil,Family,Low,Mobile,Night,24
46,Male,37,Traditional,8,Yes,NetEase Cloud,Korea,Family,Medium,Mobile,Morning,20
47,Male,42,Traditional,26,No,Apple Music,Korea,Family,Low,Tablet,Night,10
48,Male,20,EDM,24,Yes,YouTube Music,France,Student,Low,Tablet,Afternoon,31
49,Male,22,Pop,20,No,YouTube Music,Germany,Student,High,Tablet,Evening,78
50,Female,36,Oldies,24,No,NetEase Cloud,Japan,Family,High,Tablet,Morning,8
51,Male,24,Rock,10,Yes,Spotify,Brazil,Free,Medium,Mobile,Morning,93
52,Male,38,Traditional,13,No,YouTube Music,USA,Free,Medium,Mobile,Night,20
53,Male,26,Oldies,17,No,Apple Music,China,Premium,Low,PC,Afternoon,43
54,Female,24,J-Pop,11,No,YouTube Music,USA,Premium,High,Mobile,Night,52
55,Female,35,Oldies,22,Yes,NetEase Cloud,India,Free,Medium,Mobile,Morning,26
56,Female,21,J-Pop,18,Yes,YouTube Music,UK,Student,High,PC,Evening,70
57,Female,42,Chill,26,Yes,NetEase Cloud,UK,Free,Medium,Tablet,Afternoon,18
58,Female,45,Chill,9,No,NetEase Cloud,Germany,Family,Medium,Tablet,Evening,23
59,Female,31,Oldies,26,No,Apple Music,Japan,Family,High,Mobile,Evening,14
60,Female,35,Traditional,17,Yes,NetEase Cloud,China,Family,Medium,Mobile,Evening,14
61,Female,43,Traditional,28,Yes,Apple Music,Brazil,Family,Medium,Tablet,Night,13
62,Male,26,Rock,12,No,Apple Music,France,Premium,High,Tablet,Morning,67
63,Male,43,Traditional,19,No,NetEase Cloud,Brazil,Family,High,Mobile,Night,8
64,Female,38,Traditional,23,No,NetEase Cloud,India,Premium,Medium,Tablet,Afternoon,18
65,Male,19,Pop,13,Yes,YouTube Music,USA,Free,Medium,PC,Afternoon,41
66,Female,37,Pop,10,Yes,Amazon Music,UK,Free,High,Mobile,Evening,19
67,Male,45,Jazz,27,Yes,YouTube Music,USA,Family,Medium,Mobile,Evening,7
68,Male,32,Traditional,29,Yes,Amazon Music,Brazil,Family,Medium,Tablet,Afternoon,12
69,Female,45,Oldies,18,No,Amazon Music,Korea,Premium,Medium,Mobile,Afternoon,19
70,Male,24,EDM,27,Yes,Apple Music,Korea,Premium,Low,PC,Evening,43
71,Female,29,Pop,14,No,YouTube Music,Australia,Family,High,Tablet,Afternoon,55
72,Female,25,Jazz,13,Yes,Apple Music,Brazil,Free,Low,Tablet,Evening,82
73,Male,32,Rock,21,No,Amazon Music,France,Family,Low,Tablet,Evening,5
74,Female,20,J-Pop,17,Yes,QQ Music,China,Free,Low,Tablet,Evening,46
75,Male,31,Oldies,21,Yes,Apple Music,France,Free,Low,Mobile,Evening,11
76,Male,34,K-Pop,23,Yes,YouTube Music,Australia,Family,Medium,Mobile,Morning,25
77,Female,21,Jazz,17,Yes,YouTube Music,Japan,Family,Low,Mobile,Afternoon,91
78,Female,35,Jazz,13,No,NetEase Cloud,UK,Free,Low,Mobile,Afternoon,13
79,Female,25,EDM,5,Yes,Spotify,Brazil,Premium,High,PC,Afternoon,73
80,Female,21,J-Pop,5,No,Apple Music,Germany,Premium,Medium,Tablet,Evening,92
81,Female,19,K-Pop,9,No,YouTube Music,Brazil,Premium,Medium,Tablet,Night,86
82,Male,23,Rock,12,No,Spotify,UK,Student,High,PC,Night,83
83,Female,39,Rock,22,No,NetEase Cloud,Australia,Free,Medium,Mobile,Morning,31
84,Male,27,Oldies,8,Yes,YouTube Music,India,Free,Medium,Mobile,Afternoon,57
85,Female,21,Pop,26,Yes,Spotify,Germany,Premium,High,Tablet,Evening,96
86,Male,39,Traditional,5,No,YouTube Music,India,Family,Medium,Tablet,Evening,36
87,Male,35,Traditional,19,No,Amazon Music,Korea,Family,Low,Mobile,Morning,27
88,Male,43,Jazz,24,Yes,Apple Music,USA,Family,Low,Tablet,Morning,26
89,Male,29,Pop,8,No,YouTube Music,Brazil,Free,Low,PC,Evening,79
90,Male,19,EDM,29,Yes,Spotify,UK,Free,High,Mobile,Night,96
91,Female,27,Traditional,13,No,Spotify,USA,Family,Medium,Mobile,Afternoon,59
92,Male,21,Oldies,26,Yes,Apple Music,Germany,Free,Medium,PC,Evening,61
93,Female,31,Chill,28,No,YouTube Music,Japan,Family,Medium,Mobile,Morning,32
94,Male,33,Oldies,30,No,QQ Music,China,Premium,Medium,Tablet,Evening,11
95,Female,32,K-Pop,24,No,Apple Music,Germany,Premium,High,Mobile,Night,38
96,Male,25,Traditional,14,Yes,Apple Music,Brazil,Family,Medium,Mobile,Evening,44
97,Male,31,Traditional,28,Yes,Apple Music,China,Free,High,Mobile,Morning,21
98,Female,40,Jazz,19,Yes,Apple Music,Japan,Premium,Low,Mobile,Morning,15
99,Female,45,Chill,7,No,NetEase Cloud,Germany,Family,High,Mobile,Evening,18
100,Male,42,Jazz,6,No,YouTube Music,Australia,Premium,Medium,Tablet,Morning,25
101,Male,25,Pop,26,Yes,YouTube Music,Japan,Free,High,Tablet,Night,79
102,Female,38,Traditional,9,Yes,NetEase Cloud,France,Premium,Medium,Mobile,Afternoon,11
103,Male,33,Jazz,28,No,Amazon Music,Germany,Premium,High,Mobile,Afternoon,39
104,Male,30,Rock,5,Yes,Apple Music,India,Family,Medium,Mobile,Afternoon,39
105,Female,35,Jazz,15,No,NetEase Cloud,Germany,Premium,Low,Mobile,Morning,24
106,Male,32,Traditional,16,Yes,Apple Music,France,Premium,Low,Mobile,Night,27
107,Male,38,Oldies,30,Yes,Amazon Music,USA,Free,High,Mobile,Night,30
108,Female,41,Chill,7,Yes,YouTube Music,Australia,Free,Low,Mobile,Evening,10
109,Male,43,Jazz,27,No,NetEase Cloud,Korea,Premium,Medium,Mobile,Evening,37
110,Female,42,Traditional,20,Yes,NetEase Cloud,UK,Premium,Low,Mobile,Evening,26
111,Female,45,Traditional,30,Yes,YouTube Music,USA,Family,Low,Mobile,Night,14
112,Male,45,Chill,18,Yes,NetEase Cloud,Australia,Premium,Low,Mobile,Night,28
113,Male,45,K-Pop,16,No,Apple Music,Australia,Family,Low,Mobile,Evening,12
114,Female,30,Rock,24,Yes,YouTube Music,Australia,Free,Medium,Mobile,Night,24
115,Female,26,Rock,30,Yes,Spotify,France,Free,Low,Mobile,Afternoon,43
116,Male,32,Chill,20,Yes,Apple Music,Korea,Premium,Low,Mobile,Evening,17
117,Female,30,Oldies,25,No,Amazon Music,India,Family,High,Mobile,Evening,35
118,Male,18,J-Pop,12,Yes,Spotify,Brazil,Family,Medium,Tablet,Morning,53
119,Female,42,Traditional,21,No,YouTube Music,Australia,Premium,High,Mobile,Morning,28
120,Female,24,J-Pop,21,No,Apple Music,India,Family,High,Mobile,Evening,72
121,Female,26,Jazz,11,No,Apple Music,Brazil,Premium,High,Mobile,Afternoon,51
122,Male,41,Traditional,19,No,NetEase Cloud,UK,Free,Low,Mobile,Night,29
123,Female,18,Rock,13,Yes,Spotify,India,Student,Low,Tablet,Afternoon,59
124,Female,29,J-Pop,8,Yes,YouTube Music,UK,Premium,High,Tablet,Afternoon,89
125,Female,25,EDM,12,Yes,YouTube Music,Brazil,Free,Medium,Mobile,Night,65
126,Female,41,K-Pop,14,Yes,YouTube Music,Korea,Free,Medium,Tablet,Morning,6
127,Male,28,J-Pop,19,No,YouTube Music,UK,Free,High,Mobile,Night,65
128,Female,36,Chill,27,No,NetEase Cloud,Korea,Family,Medium,Mobile,Afternoon,29
129,Male,34,Traditional,22,No,YouTube Music,USA,Family,High,Mobile,Night,36
130,Female,25,K-Pop,18,No,Spotify,Korea,Premium,Low,PC,Morning,58
131,Female,20,Jazz,9,No,Spotify,UK,Family,Low,Mobile,Night,86
132,Male,20,J-Pop,13,No,YouTube Music,Germany,Student,Low,Mobile,Night,50
133,Male,18,EDM,17,Yes,Apple Music,Korea,Student,Medium,PC,Night,81
134,Female,44,Oldies,29,Yes,NetEase Cloud,Australia,Family,High,Mobile,Afternoon,32
135,Female,22,Chill,23,No,Spotify,Korea,Family,Medium,PC,Night,41
136,Female,27,J-Pop,15,No,YouTube Music,Germany,Free,Medium,PC,Night,36
137,Male,24,K-Pop,16,No,Apple Music,France,Free,Low,PC,Morning,41
138,Female,43,Oldies,7,Yes,NetEase Cloud,France,Free,Medium,Mobile,Morning,32
139,Male,26,J-Pop,6,Yes,YouTube Music,Korea,Free,High,Tablet,Morning,38
140,Female,45,Jazz,27,Yes,Amazon Music,UK,Free,Medium,Mobile,Night,23
141,Male,24,Rock,26,Yes,Apple Music,Japan,Student,Low,Mobile,Evening,70
142,Male,26,Rock,19,No,YouTube Music,UK,Family,Medium,Tablet,Morning,59
143,Male,25,Chill,9,Yes,Apple Music,Australia,Premium,High,Tablet,Night,48
144,Female,29,Pop,11,Yes,Apple Music,UK,Family,Medium,PC,Morning,68
145,Female,19,Pop,8,Yes,YouTube Music,Korea,Student,High,Mobile,Morning,37
146,Male,18,EDM,9,Yes,YouTube Music,Germany,Premium,High,Mobile,Night,30
147,Male,33,Jazz,29,Yes,Amazon Music,UK,Free,Low,Mobile,Afternoon,37
148,Male,40,Oldies,20,No,Apple Music,Brazil,Premium,Low,Mobile,Morning,24
149,Female,40,Jazz,19,No,Apple Music,USA,Family,Low,Mobile,Evening,7
150,Female,41,Traditional,20,No,NetEase Cloud,Germany,Family,Low,Mobile,Afternoon,23
151,Female,22,Jazz,29,No,Apple Music,USA,Family,Low,Mobile,Afternoon,35
152,Male,20,Chill,8,No,YouTube Music,Germany,Free,High,Mobile,Evening,90
153,Female,29,J-Pop,10,Yes,Spotify,Korea,Family,High,PC,Morning,80
154,Female,25,Jazz,22,Yes,Apple Music,China,Family,High,PC,Night,31
155,Female,39,Jazz,7,Yes,NetEase Cloud,Germany,Free,High,Mobile,Morning,21
156,Male,44,Rock,29,Yes,NetEase Cloud,Japan,Family,Medium,Tablet,Afternoon,17
157,Female,20,Rock,26,Yes,Spotify,France,Free,High,Mobile,Evening,79
158,Female,18,K-Pop,28,Yes,YouTube Music,Japan,Student,Low,Tablet,Night,45
159,Female,20,J-Pop,9,Yes,Spotify,Australia,Student,High,Tablet,Afternoon,44
160,Female,22,K-Pop,6,No,Spotify,Korea,Student,Medium,Tablet,Afternoon,87
161,Female,32,Rock,27,No,Amazon Music,India,Family,Medium,Mobile,Morning,20
162,Male,31,Chill,20,Yes,Apple Music,France,Free,Low,Mobile,Morning,31
163,Male,20,EDM,10,No,YouTube Music,Korea,Free,Medium,Mobile,Evening,79
164,Male,18,J-Pop,19,No,Apple Music,USA,Family,Medium,Tablet,Afternoon,72
165,Male,22,EDM,22,Yes,Apple Music,UK,Premium,Low,PC,Evening,63
166,Female,43,Jazz,10,No,NetEase Cloud,Brazil,Family,High,Mobile,Afternoon,7
167,Female,40,Traditional,17,Yes,NetEase Cloud,USA,Premium,Medium,Mobile,Evening,30
168,Male,31,Chill,28,Yes,YouTube Music,India,Family,Medium,Mobile,Evening,8
169,Male,24,Pop,17,Yes,YouTube Music,UK,Family,High,Mobile,Evening,64
170,Male,44,Jazz,5,Yes,Apple Music,Germany,Premium,Low,Mobile,Evening,19
171,Female,26,EDM,20,Yes,Spotify,France,Free,Medium,Mobile,Night,65
172,Female,32,Traditional,8,Yes,YouTube Music,India,Premium,Medium,Tablet,Night,11
173,Female,32,Chill,21,No,NetEase Cloud,France,Premium,Low,Mobile,Afternoon,12
174,Male,43,Jazz,22,No,YouTube Music,Korea,Free,Medium,Mobile,Evening,9
175,Male,27,Chill,20,No,Apple Music,UK,Family,High,PC,Afternoon,36
176,Male,45,Oldies,5,No,NetEase Cloud,Japan,Premium,Medium,Mobile,Evening,36
177,Female,30,K-Pop,10,No,NetEase Cloud,China,Premium,Medium,Tablet,Morning,16
178,Female,36,Chill,15,Yes,Amazon Music,Japan,Premium,Medium,Mobile,Afternoon,9
179,Male,24,Pop,10,No,Apple Music,China,Student,High,PC,Afternoon,71
180,Male,34,Oldies,21,No,YouTube Music,UK,Family,High,Mobile,Afternoon,34
181,Female,37,Jazz,8,Yes,Amazon Music,France,Premium,Medium,Mobile,Night,18
182,Female,21,Traditional,18,Yes,Apple Music,India,Student,High,Mobile,Evening,44
183,Male,22,J-Pop,18,No,Spotify,Korea,Family,Medium,Tablet,Afternoon,44
184,Male,40,Oldies,24,Yes,YouTube Music,Australia,Premium,Low,Mobile,Evening,22
185,Female,24,K-Pop,12,Yes,Spotify,Australia,Premium,Low,Tablet,Evening,62
186,Male,30,Oldies,26,Yes,Apple Music,China,Free,Medium,Mobile,Morning,13
187,Male,32,Traditional,6,No,NetEase Cloud,France,Premium,Low,Mobile,Morning,34
188,Female,28,K-Pop,9,Yes,YouTube Music,Japan,Free,High,Tablet,Morning,32
189,Male,21,EDM,8,Yes,NetEase Cloud,China,Student,Medium,Mobile,Night,75
190,Female,30,EDM,14,Yes,Apple Music,Korea,Free,Medium,Mobile,Evening,9
191,Male,24,J-Pop,24,No,Apple Music,India,Family,Medium,Mobile,Afternoon,60
192,Female,44,Jazz,28,No,YouTube Music,Germany,Premium,Medium,Mobile,Afternoon,35
193,Male,36,Chill,25,Yes,YouTube Music,Germany,Premium,Medium,Mobile,Morning,14
194,Male,39,Jazz,7,Yes,Amazon Music,France,Free,Low,Mobile,Afternoon,15
195,Male,45,Traditional,20,Yes,Apple Music,China,Free,High,Mobile,Night,36
196,Female,19,Pop,14,No,Apple Music,UK,Family,Low,Mobile,Morning,33
197,Male,27,Traditional,19,No,Spotify,Korea,Family,High,Mobile,Night,82
198,Male,30,EDM,8,No,NetEase Cloud,Korea,Free,High,Mobile,Morning,31
199,Female,42,Oldies,5,Yes,NetEase Cloud,France,Premium,High,Mobile,Night,11
200,Male,38,Oldies,26,Yes,Amazon Music,USA,Family,High,Mobile,Afternoon,29
201,Female,23,Rock,19,Yes,Apple Music,UK,Student,High,Tablet,Afternoon,94
202,Female,45,Chill,14,No,YouTube Music,France,Premium,Medium,Tablet,Night,30
203,Female,45,EDM,24,No,NetEase Cloud,Japan,Free,Medium,Mobile,Evening,39
204,Male,29,EDM,26,No,YouTube Music,USA,Free,Medium,Mobile,Afternoon,67
205,Female,29,K-Pop,22,No,Apple Music,China,Free,Medium,Tablet,Afternoon,77
206,Male,37,Oldies,20,No,Amazon Music,UK,Family,Low,Tablet,Morning,24
207,Female,28,Pop,25,Yes,YouTube Music,UK,Family,Low,PC,Evening,100
208,Male,43,Jazz,13,Yes,Apple Music,Korea,Free,Medium,Tablet,Afternoon,37
209,Female,40,Chill,28,No,NetEase Cloud,Brazil,Premium,Medium,Mobile,Night,24
210,Female,45,Traditional,23,No,NetEase Cloud,USA,Family,High,Mobile,Evening,9
211,Male,42,Oldies,21,Yes,Apple Music,Korea,Free,High,Mobile,Evening,12
212,Female,24,J-Pop,14,No,Spotify,UK,Free,High,PC,Morning,75
213,Male,18,K-Pop,23,Yes,YouTube Music,India,Premium,Medium,Tablet,Morning,66
214,Female,18,Rock,12,Yes,YouTube Music,Japan,Family,Medium,PC,Afternoon,57
215,Male,42,Traditional,23,Yes,QQ Music,China,Family,Low,Mobile,Morning,14
216,Female,44,Oldies,9,No,Apple Music,Korea,Free,High,Mobile,Evening,18
217,Female,42,Chill,6,No,Apple Music,Australia,Free,High,Mobile,Night,16
218,Male,37,Chill,19,No,NetEase Cloud,Germany,Family,Low,Mobile,Morning,22
219,Female,30,Rock,21,Yes,Apple Music,France,Free,High,Mobile,Morning,40
220,Male,26,Traditional,14,Yes,YouTube Music,Korea,Premium,High,Mobile,Night,50
221,Male,20,Rock,25,No,Apple Music,Korea,Free,Medium,Tablet,Evening,40
222,Female,24,K-Pop,25,Yes,YouTube Music,Germany,Premium,Low,Tablet,Evening,50
223,Female,23,Pop,26,No,Apple Music,China,Family,Low,PC,Morning,93
224,Female,25,Jazz,6,No,YouTube Music,UK,Free,High,PC,Morning,64
225,Male,44,Traditional,13,No,YouTube Music,Japan,Family,Low,Mobile,Night,26
226,Male,26,EDM,6,No,YouTube Music,Brazil,Family,High,Mobile,Morning,47
227,Female,22,K-Pop,22,Yes,Spotify,UK,Student,High,PC,Evening,54
228,Male,18,Chill,16,No,YouTube Music,France,Premium,Medium,Tablet,Evening,42
229,Female,36,Pop,19,Yes,YouTube Music,Brazil,Free,Medium,Tablet,Night,32
230,Female,27,Pop,25,Yes,Spotify,Brazil,Family,High,Tablet,Night,99
231,Female,29,Pop,29,Yes,Spotify,USA,Premium,Low,Mobile,Morning,94
232,Male,41,Traditional,24,Yes,Apple Music,USA,Premium,Low,Mobile,Afternoon,37
233,Male,32,Jazz,10,No,YouTube Music,Australia,Premium,Medium,Mobile,Night,33
234,Female,44,Traditional,22,No,Amazon Music,UK,Family,High,Mobile,Evening,25
235,Male,39,Oldies,17,Yes,YouTube Music,Japan,Family,High,Mobile,Morning,17
236,Female,41,Jazz,8,Yes,Apple Music,Australia,Premium,Medium,Mobile,Night,19
237,Female,26,Pop,16,Yes,QQ Music,China,Free,High,Tablet,Evening,66
238,Male,37,Jazz,13,No,NetEase Cloud,Brazil,Premium,Medium,Mobile,Morning,27
239,Female,34,Chill,6,No,Apple Music,Germany,Family,High,Tablet,Night,17
240,Female,34,Jazz,20,Yes,NetEase Cloud,Japan,Free,Low,Tablet,Morning,12
241,Female,43,Rock,5,Yes,NetEase Cloud,Brazil,Premium,Medium,Mobile,Morning,30
242,Female,37,Traditional,8,Yes,Apple Music,China,Family,High,Mobile,Afternoon,9
243,Female,29,Traditional,19,Yes,YouTube Music,Japan,Family,High,Tablet,Night,71
244,Male,24,Pop,24,No,Spotify,India,Premium,Medium,Mobile,Night,38
245,Male,19,Pop,5,Yes,YouTube Music,Germany,Free,High,Mobile,Night,61
246,Female,20,Rock,24,Yes,QQ Music,China,Free,High,PC,Afternoon,85
247,Male,34,Oldies,19,Yes,Amazon Music,India,Premium,High,Tablet,Evening,23
248,Female,22,Jazz,7,Yes,Spotify,France,Family,Medium,Tablet,Night,91
249,Female,34,K-Pop,17,Yes,NetEase Cloud,China,Premium,Low,Tablet,Night,23
250,Female,41,Jazz,22,No,QQ Music,China,Family,High,Mobile,Evening,20
251,Female,34,Oldies,17,No,YouTube Music,UK,Family,Medium,Mobile,Night,17
252,Male,44,Oldies,14,No,NetEase Cloud,Korea,Family,Medium,Tablet,Afternoon,20
253,Male,34,Rock,24,Yes,YouTube Music,Brazil,Family,High,Tablet,Night,9
254,Female,19,K-Pop,28,Yes,YouTube Music,USA,Premium,Medium,PC,Morning,95
255,Male,19,Pop,11,Yes,Apple Music,Germany,Family,High,Mobile,Afternoon,37
256,Female,45,Chill,29,Yes,Apple Music,Brazil,Free,Medium,Mobile,Afternoon,22
257,Male,39,Traditional,12,Yes,NetEase Cloud,China,Free,Low,Mobile,Morning,33
258,Female,40,Traditional,5,Yes,YouTube Music,Japan,Premium,Low,Mobile,Evening,13
259,Female,22,J-Pop,22,Yes,Apple Music,China,Family,Low,Tablet,Afternoon,98
260,Female,18,Oldies,16,Yes,Apple Music,France,Family,Low,Mobile,Night,74
261,Male,18,J-Pop,22,No,NetEase Cloud,China,Family,Low,PC,Evening,50
262,Male,36,Oldies,28,Yes,Amazon Music,India,Premium,Low,Mobile,Afternoon,32
263,Female,19,J-Pop,16,Yes,Spotify,Brazil,Free,Low,PC,Night,68
264,Male,38,Traditional,24,Yes,NetEase Cloud,Japan,Family,High,Mobile,Night,18
265,Male,29,Oldies,13,No,YouTube Music,Korea,Free,High,Tablet,Afternoon,94
266,Male,43,EDM,6,No,YouTube Music,India,Family,High,Mobile,Evening,17
267,Male,23,Oldies,18,Yes,Apple Music,Australia,Family,Medium,Mobile,Evening,71
268,Male,40,Traditional,8,No,Amazon Music,Germany,Free,Medium,Mobile,Morning,39
269,Male,21,EDM,19,Yes,YouTube Music,UK,Premium,Low,Mobile,Morning,59
270,Male,40,Jazz,21,No,Amazon Music,UK,Family,Low,Mobile,Afternoon,8
271,Male,28,Chill,23,No,Apple Music,China,Premium,Medium,Mobile,Night,44
272,Male,41,Traditional,10,No,Apple Music,China,Family,Low,Mobile,Afternoon,33
273,Male,44,Chill,13,No,NetEase Cloud,Japan,Family,Medium,Mobile,Morning,32
274,Male,34,Traditional,21,Yes,Apple Music,USA,Family,Low,Mobile,Morning,8
275,Male,23,Rock,19,Yes,Apple Music,Australia,Family,Low,Mobile,Afternoon,57
276,Male,41,Jazz,9,Yes,Apple Music,China,Premium,Low,Tablet,Morning,20
277,Female,22,K-Pop,22,No,YouTube Music,UK,Premium,Medium,PC,Evening,50
278,Female,37,Chill,27,Yes,Amazon Music,Japan,Free,Low,Tablet,Afternoon,32
279,Male,19,K-Pop,8,Yes,YouTube Music,France,Premium,Medium,PC,Afternoon,48
280,Male,23,Rock,25,Yes,Spotify,Brazil,Premium,Low,PC,Afternoon,50
281,Male,39,Traditional,28,Yes,YouTube Music,Australia,Free,High,Mobile,Afternoon,25
282,Female,28,Rock,6,No,Apple Music,Germany,Free,High,PC,Evening,53
283,Female,33,K-Pop,23,Yes,Apple Music,UK,Family,Medium,Tablet,Morning,17
284,Male,33,Rock,9,Yes,NetEase Cloud,Australia,Free,High,Mobile,Afternoon,39
285,Male,18,K-Pop,30,Yes,Apple Music,UK,Premium,High,PC,Afternoon,87
286,Male,26,Oldies,8,No,NetEase Cloud,China,Free,Low,Mobile,Night,48
287,Male,45,Oldies,9,Yes,Amazon Music,Germany,Family,Low,Mobile,Afternoon,40
288,Male,44,Traditional,23,Yes,NetEase Cloud,Germany,Premium,Low,Tablet,Afternoon,23
289,Female,23,Rock,17,No,YouTube Music,Japan,Family,Medium,PC,Night,61
290,Male,33,Chill,20,Yes,YouTube Music,Korea,Premium,Low,Mobile,Evening,22
291,Female,20,J-Pop,16,Yes,Apple Music,Korea,Free,Low,Tablet,Morning,40
292,Male,37,Chill,13,No,Amazon Music,Germany,Free,Medium,Mobile,Evening,25
293,Male,45,K-Pop,28,Yes,Apple Music,Brazil,Free,Low,Mobile,Afternoon,22
294,Female,44,Oldies,20,Yes,YouTube Music,India,Free,High,Mobile,Afternoon,27
295,Female,21,J-Pop,18,Yes,Spotify,India,Student,Low,PC,Evening,33
296,Male,36,Oldies,26,Yes,YouTube Music,UK,Free,Medium,Mobile,Afternoon,34
297,Female,43,Oldies,5,Yes,Apple Music,Brazil,Premium,Medium,Mobile,Evening,37
298,Male,20,Rock,24,No,Apple Music,Brazil,Family,High,PC,Evening,94
299,Female,36,Oldies,27,No,Apple Music,Australia,Family,Low,Mobile,Morning,36
300,Female,37,EDM,30,Yes,YouTube Music,Korea,Family,High,Mobile,Morning,32
301,Male,24,Chill,25,Yes,YouTube Music,Korea,Student,Low,Mobile,Morning,61
302,Male,37,Oldies,8,Yes,NetEase Cloud,Japan,Family,Medium,Mobile,Morning,32
303,Female,26,Rock,13,No,Spotify,UK,Free,Medium,PC,Evening,37
304,Male,18,Traditional,28,Yes,Apple Music,Brazil,Family,High,Mobile,Afternoon,84
305,Female,25,K-Pop,23,Yes,YouTube Music,Brazil,Family,Medium,PC,Evening,98
306,Female,24,Rock,18,No,Spotify,India,Premium,Medium,PC,Afternoon,86
307,Male,35,Oldies,26,Yes,NetEase Cloud,China,Premium,Low,Mobile,Morning,32
308,Female,25,Pop,16,Yes,Apple Music,Korea,Free,High,PC,Night,56
309,Male,18,EDM,8,Yes,YouTube Music,Germany,Premium,High,PC,Afternoon,39
310,Male,28,Chill,11,No,YouTube Music,UK,Free,Low,Tablet,Afternoon,64
